id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
427,Norwich,0,Manager:Daniel Farke,4-3-3,"stadium_clmn_attend:26,649", 18-Sep-21,stadium_clmn_venue: Carrow Road,Premier League,2021-2022,England,1 - 3,1,3,12,0,5,3,4,48.7,572,375,304,81,9,14,9,13,64,18,55,10,23,17,57,30,13,18,15,4,50,6,0,10,1,0,90
427,Watford,1,Manager:Francisco Javier Muñoz Llompart,4-2-3-1,"stadium_clmn_attend:26,649", 18-Sep-21,stadium_clmn_venue: Carrow Road,Premier League,2021-2022,England,1 - 3,3,1,12,0,8,3,1,51.3,583,396,313,79,11,21,13,9,62,15,45,23,10,11,55,20,9,14,9,8,25,9,1,14,0,0,90
428,Tottenham,0,Manager:Nuno Espírito Santo,4-3-2-1,"stadium_clmn_attend:60,059",19-Sep-21,stadium_clmn_venue: Tottenham Hotspur Stadium,Premier League,2021-2022,England,0 - 3,0,3,8,0,2,4,2,47.0,671,480,395,82,6,14,7,8,50,12,40,16,14,20,71,28,8,23,9,5,40,8,0,4,0,0,90
428,Chelsea,1,Manager:Thomas Tuchel,3-4-2-1,"stadium_clmn_attend:60,059",19-Sep-21,stadium_clmn_venue: Tottenham Hotspur Stadium,Premier League,2021-2022,England,0 - 3,3,0,20,0,10,3,7,53.0,729,525,457,87,17,18,8,7,44,18,60,14,16,15,68,22,7,19,15,11,55,10,0,15,1,0,90
429,West Ham,0,Manager:David Moyes,4-4-2,"stadium_clmn_attend:59,958",19-Sep-21,stadium_clmn_venue: London Stadium,Premier League,2021-2022,England,1 - 2,1,2,13,0,4,5,4,39.9,599,417,348,83,10,17,14,19,82,12,57,3,18,14,42,33,19,31,4,2,0,11,1,5,2,0,90
429,Man Utd,1,Manager:Ole Gunnar Solskjær,4-2-3-1,"stadium_clmn_attend:59,958",19-Sep-21,stadium_clmn_venue: London Stadium,Premier League,2021-2022,England,1 - 2,2,1,17,0,10,4,3,60.1,814,624,562,90,16,24,19,14,79,9,43,18,3,14,50,28,14,18,2,11,45,9,1,8,0,0,90
430,Wolves,0,Manager:Bruno Lage,3-4-3,"stadium_clmn_attend:29,724", 18-Sep-21,stadium_clmn_venue: Molineux Stadium,Premier League,2021-2022,England,0 - 2,0,2,11,0,0,8,3,61.9,689,519,436,84,8,27,20,8,74,12,46,9,17,9,53,17,8,9,6,4,50,8,2,10,2,0,90
430,Brentford,1,Manager:Thomas Frank,3-5-2,"stadium_clmn_attend:29,724", 18-Sep-21,stadium_clmn_venue: Molineux Stadium,Premier League,2021-2022,England,0 - 2,2,0,9,1,3,5,1,38.1,486,324,242,75,6,14,8,20,57,14,54,17,9,15,43,35,20,28,10,2,50,3,0,7,2,0,90
431,Arsenal,0,Manager:Mikel Arteta,4-2-3-1,"stadium_clmn_attend:59,919",26-Sep-21,stadium_clmn_venue: Emirates Stadium,Premier League,2021-2022,England,3 - 1,3,1,12,0,7,4,1,46.6,594,431,357,83,11,10,5,10,50,15,58,16,10,22,69,32,10,20,10,4,100,9,0,12,2,0,90
431,Tottenham,1,Manager:Nuno Espírito Santo,4-3-3,"stadium_clmn_attend:59,919",26-Sep-21,stadium_clmn_venue: Emirates Stadium,Premier League,2021-2022,England,3 - 1,1,3,10,0,4,5,1,53.4,664,485,413,85,8,16,10,5,63,11,42,10,16,14,74,19,5,8,8,4,75,16,1,13,4,0,90
432,Brentford,0,Manager:Thomas Frank,3-5-2,"stadium_clmn_attend:16,876", 25-Sep-21,stadium_clmn_venue: Brentford Community Stadium,Premier League,2021-2022,England,3 - 3,3,3,12,1,4,6,2,32.7,449,271,181,67,6,11,8,5,73,25,52,29,19,14,74,19,5,31,15,2,0,8,0,8,4,0,90
432,Liverpool,1,Manager:Jürgen Klopp,4-3-3,"stadium_clmn_attend:16,876", 25-Sep-21,stadium_clmn_venue: Brentford Community Stadium,Premier League,2021-2022,England,3 - 3,3,3,16,0,6,6,4,67.3,728,561,465,83,12,15,5,8,33,23,48,19,29,11,58,19,8,18,9,11,27,4,0,7,4,0,90
433,Chelsea,0,Manager:Thomas Tuchel,3-5-2,"stadium_clmn_attend:40,036", 25-Sep-21,stadium_clmn_venue: Stamford Bridge,Premier League,2021-2022,England,0 - 1,0,1,5,0,0,1,4,40.9,595,413,341,83,4,18,10,9,56,18,67,13,14,13,59,22,9,24,7,4,0,8,0,12,3,0,90
433,Man City,1,Manager:Josep Guardiola,4-3-3,"stadium_clmn_attend:40,036", 25-Sep-21,stadium_clmn_venue: Stamford Bridge,Premier League,2021-2022,England,0 - 1,1,0,15,0,4,5,6,59.1,781,599,528,88,13,15,9,10,60,9,33,14,13,16,62,26,10,17,8,13,46,7,0,10,4,0,90
434,Crystal Palace,0,Manager:Patrick Vieira,4-3-3,"stadium_clmn_attend:22,975", 27-Sep-21,stadium_clmn_venue: Selhurst Park,Premier League,2021-2022,England,1 - 1,1,1,8,0,3,2,3,46.9,689,497,413,83,5,10,4,6,40,7,32,7,15,17,74,23,6,14,12,6,33,23,0,12,1,0,90
434,Brighton,1,Manager:Graham Potter,3-4-3,"stadium_clmn_attend:22,975", 27-Sep-21,stadium_clmn_venue: Selhurst Park,Premier League,2021-2022,England,1 - 1,1,1,8,0,4,2,2,53.1,744,565,466,82,4,16,6,4,38,15,68,15,7,29,88,33,4,13,10,5,0,7,0,10,0,0,90
435,Everton,0,Manager:Rafael Benítez,4-4-1-1,"stadium_clmn_attend:38,821", 25-Sep-21,stadium_clmn_venue: Goodison Park,Premier League,2021-2022,England,2 - 0,2,0,11,0,4,3,4,46.8,591,420,345,82,9,11,4,12,36,8,36,14,8,18,60,30,12,15,9,6,17,5,0,12,1,0,90
435,Norwich,1,Manager:Daniel Farke,5-3-2,"stadium_clmn_attend:38,821", 25-Sep-21,stadium_clmn_venue: Goodison Park,Premier League,2021-2022,England,2 - 0,0,2,10,0,2,5,3,53.2,687,487,406,83,8,24,12,4,50,14,64,8,14,12,75,16,4,17,17,4,50,6,0,9,0,0,90
436,Leeds,0,Manager:Marcelo Bielsa,4-1-4-1,"stadium_clmn_attend:36,417", 25-Sep-21,stadium_clmn_venue: Elland Road,Premier League,2021-2022,England,1 - 2,1,2,15,1,5,4,6,53.5,584,414,336,81,11,15,5,7,33,19,50,13,25,16,70,23,7,16,4,5,40,5,0,10,2,0,90
436,West Ham,1,Manager:David Moyes,4-2-3-1,"stadium_clmn_attend:36,417", 25-Sep-21,stadium_clmn_venue: Elland Road,Premier League,2021-2022,England,1 - 2,2,1,20,0,7,9,4,46.5,528,348,273,78,15,18,7,5,39,19,50,25,13,15,75,20,5,12,7,7,14,5,1,6,0,0,90
437,Leicester,0,Manager:Brendan Rodgers,4-3-3,"stadium_clmn_attend:31,650", 25-Sep-21,stadium_clmn_venue: King Power Stadium,Premier League,2021-2022,England,2 - 2,2,2,22,0,5,6,11,67.1,775,576,482,84,17,13,10,6,77,20,53,10,28,17,74,23,6,13,7,8,25,10,0,10,1,0,90
437,Burnley,1,Manager:Sean Dyche,4-4-2,"stadium_clmn_attend:31,650", 25-Sep-21,stadium_clmn_venue: King Power Stadium,Premier League,2021-2022,England,2 - 2,2,2,9,0,3,4,2,32.9,476,286,193,67,6,15,6,10,40,18,47,28,10,13,57,23,10,28,11,4,0,8,0,8,4,0,90
438,Man Utd,0,Manager:Ole Gunnar Solskjær,4-2-3-1,"stadium_clmn_attend:72,922", 25-Sep-21,stadium_clmn_venue: Old Trafford,Premier League,2021-2022,England,0 - 1,0,1,28,0,4,11,13,59.6,605,409,313,77,21,20,16,6,80,19,63,6,24,12,67,18,6,21,9,5,100,5,1,9,2,0,90
438,Aston Villa,1,Manager:Dean Smith,3-5-2,"stadium_clmn_attend:72,922", 25-Sep-21,stadium_clmn_venue: Old Trafford,Premier League,2021-2022,England,0 - 1,1,0,7,0,3,3,1,40.4,466,271,187,69,5,14,6,16,43,11,37,24,6,9,36,25,16,14,15,5,40,4,0,13,3,0,90
439,Southampton,0,Manager:Ralph Hasenhüttl,4-4-2,"stadium_clmn_attend:28,002",26-Sep-21,stadium_clmn_venue: St. Mary's Stadium,Premier League,2021-2022,England,0 - 1,0,1,18,0,6,5,7,57.0,677,497,416,84,15,14,7,8,50,14,48,14,15,13,62,21,8,10,11,5,20,5,0,12,3,0,90
439,Wolves,1,Manager:Bruno Lage,3-4-3,"stadium_clmn_attend:28,002",26-Sep-21,stadium_clmn_venue: St. Mary's Stadium,Premier League,2021-2022,England,0 - 1,1,0,5,0,3,0,2,43.0,568,383,283,74,4,14,8,7,57,15,52,15,14,12,63,19,7,34,6,5,80,7,2,8,1,0,90
440,Watford,0,Manager:Francisco Javier Muñoz Llompart,4-2-3-1,"stadium_clmn_attend:20,650", 25-Sep-21,stadium_clmn_venue: Vicarage Road,Premier League,2021-2022,England,1 - 1,1,1,15,0,4,6,5,52.2,560,364,280,77,12,32,21,11,66,17,41,14,27,13,54,24,11,13,7,5,20,11,2,19,1,0,90
440,Newcastle,1,Manager:Steve Bruce,4-1-4-1,"stadium_clmn_attend:20,650", 25-Sep-21,stadium_clmn_venue: Vicarage Road,Premier League,2021-2022,England,1 - 1,1,1,20,0,6,8,6,47.8,538,335,256,76,14,18,11,21,61,24,59,27,14,22,51,43,21,23,9,6,17,6,0,12,1,0,90
441,Brighton,0,Manager:Graham Potter,3-5-2,"stadium_clmn_attend:31,266", 02-Okt-21,stadium_clmn_venue: Amex Stadium,Premier League,2021-2022,England,0 - 0,0,0,21,0,2,12,7,58.2,669,497,420,85,18,8,6,6,75,16,70,13,10,16,73,22,6,13,9,8,63,6,0,8,1,0,90
441,Arsenal,1,Manager:Mikel Arteta,4-2-3-1,"stadium_clmn_attend:31,266", 02-Okt-21,stadium_clmn_venue: Amex Stadium,Premier League,2021-2022,England,0 - 0,0,0,8,0,2,5,1,41.8,531,355,268,75,5,14,6,6,43,7,30,10,13,8,57,14,6,18,11,5,60,8,0,5,1,0,90
442,Burnley,0,Manager:Sean Dyche,4-4-2,"stadium_clmn_attend:17,427", 02-Okt-21,stadium_clmn_venue: Turf Moor,Premier League,2021-2022,England,0 - 0,0,0,14,0,4,3,7,56.1,651,432,331,77,12,22,14,12,64,27,64,23,19,13,52,25,12,17,8,9,33,8,1,13,2,0,90
442,Norwich,1,Manager:Daniel Farke,5-3-2,"stadium_clmn_attend:17,427", 02-Okt-21,stadium_clmn_venue: Turf Moor,Premier League,2021-2022,England,0 - 0,0,0,10,0,2,2,6,43.9,577,356,260,73,6,22,12,14,55,15,36,18,24,16,53,30,14,44,7,5,60,3,1,3,1,0,90
443,Chelsea,0,Manager:Thomas Tuchel,3-4-2-1,"stadium_clmn_attend:40,109", 02-Okt-21,stadium_clmn_venue: Stamford Bridge,Premier League,2021-2022,England,3 - 1,3,1,20,2,9,6,5,61.6,763,546,468,86,15,24,19,12,79,14,78,5,13,16,57,28,12,11,5,7,43,19,0,11,1,0,90
443,Southampton,1,Manager:Ralph Hasenhüttl,4-4-2,"stadium_clmn_attend:40,109", 02-Okt-21,stadium_clmn_venue: Stamford Bridge,Premier League,2021-2022,England,3 - 1,1,3,6,0,2,3,1,38.4,528,344,258,75,4,19,12,19,63,4,22,13,5,24,56,43,19,12,10,2,0,9,1,13,0,0,90
444,Crystal Palace,0,Manager:Patrick Vieira,4-3-3,"stadium_clmn_attend:22,445",03-Okt-21,stadium_clmn_venue: Selhurst Park,Premier League,2021-2022,England,2 - 2,2,2,18,1,4,9,5,60.0,786,557,446,80,13,19,14,10,74,19,56,15,19,16,62,26,10,10,4,1,100,25,1,15,2,0,90
444,Leicester,1,Manager:Brendan Rodgers,4-4-2,"stadium_clmn_attend:22,445",03-Okt-21,stadium_clmn_venue: Selhurst Park,Premier League,2021-2022,England,2 - 2,2,2,9,0,5,2,2,40.0,586,382,262,69,5,13,10,14,77,15,44,19,15,30,68,44,14,27,13,3,0,13,0,11,1,0,90
